SSP SINAMICS MV V4.8 SP2;04.82.10.01;V04.82.53.04_02.10.96.01;---;
SSP SINAMICS MV V5.1 SP2;06.04.00.00;V05.12.22.00_06.40.10.00;---;
SSP SINAMICS MV V5.2 SP1;06.07.00.00;V05.22.11.00_06.70.09.00;---;
SSP SINAMICS MV V5.2 SP2;06.08.00.00;V05.22.27.00_06.80.22.00;---;
SSP SINAMICS MV V5.2 SP4;07.02.00.00;V05.22.43.00_07.20.13.00;---;
SSP SINAMICS MV V5.2 SP5;07.03.01.00;V05.22.70.00_07.30.26.00;---;
SSP SINAMICS MV V5.2 SP7;07.05.00.00;V05.22.90.00_07.50.19.00;---;
SSP SINAMICS MV V5.2 SP8;07.08.00.00;V05.23.07.00_07.80.17.00;---;
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7;04.70.10.02;V04.70.35.82_19.10.10.00;---;
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7 SP10;06.01.00.00;V04.71.14.00_06.10.10.00;---;
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7 SP13;06.09.00.03;V04.71.52.00_06.90.11.06;---;
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7 SP14;07.06.00.04;V04.71.68.00_07.60.15.04;---;
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7 SP3;04.73.10.01;V04.70.64.02_19.46.01.00;---;
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7 SP6;04.76.10.02;V04.70.83.00_19.66.06.00;---;
SSP SINAMICS SIMATIC ET 200PRO FC-2 V4.7 SP9;04.79.10.02;V04.71.04.00_02.40.14.04;---;
SSP SINAMICS V2.6 SP1;02.61.20.00;V02.60.35.00_07.13.00.00;---;
SSP SINAMICS V2.6 SP2;02.62.20.00;V02.60.42.00_07.13.00.00;---;
SSP SINAMICS S110 V4.1;04.10.20.00;V04.10.16.00_07.13.00.00;---;
SSP SINAMICS V4.3 SP1;04.31.20.01;V04.30.17.00_07.14.01.00;---;
SSP SINAMICS V4.3 SP2;04.32.20.01;V04.30.28.00_07.13.04.00;---;
SSP SINAMICS V4.4;04.40.22.00;V04.40.23.15_11.13.00.00;---;
SSP SINAMICS V4.4 SP3;04.43.10.00;V04.40.44.00_11.26.00.00;---;
SSP SINAMICS V4.5;04.50.21.01;V04.59.30.76_14.16.01.00;---;
SSP SINAMICS V4.6;04.60.11.01;V04.60.21.00_14.12.01.00;---;
SSP SINAMICS V4.7;04.70.10.06;V04.70.35.84_19.10.18.00;---;
SSP SINAMICS V4.8;04.80.21.02;V04.80.65.90_02.10.60.05;---;
SSP SINAMICS V5.1;05.10.10.03;V05.10.23.09_02.50.09.07;---;
SSP SINAMICS V5.1 SP1;06.02.00.02;V05.10.40.09_06.20.12.03;---;
SSP SINAMICS V5.2;06.05.03.00;V05.20.28.00_06.50.21.00;---;
SSP SINAMICS V5.2 SP3;07.01.00.12;V05.20.73.29_07.10.08.21;---;
SSP SINUMERIK SINAMICS Int V2.6 SP2;02.62.20.00;V02.60.42.00_07.13.00.00;---;
SSP SINUMERIK SINAMICS Int V4.4;04.40.20.00;V04.40.23.15_11.00.00.00;---;
SSP SINUMERIK SINAMICS Int V4.5;04.50.21.03;V04.59.30.76_14.16.04.00;---;
SSP SINUMERIK SINAMICS Int V4.7;04.70.10.07;V04.70.35.84_19.10.21.00;---;
SSP SINUMERIK SINAMICS Int V5.1;05.10.12.01;V05.10.23.03_02.50.14.01;---;
SSP SINUMERIK SINAMICS Int V5.1 SP1;06.02.00.00;V05.10.38.00_06.20.12.00;---;
SSP SINUMERIK SINAMICS Int V5.2;06.05.02.00;V05.20.28.00_06.50.17.00;---;
SSP SINUMERIK SINAMICS Int V5.2 SP3;07.01.02.04;V05.20.73.34_07.10.11.09;---;
SIMATIC WinCC flexible OCX;1.5.0.0;V1.5.0.0_1.11.0.6;---;
SIMATIC WinCC flexible Simulator;1.8.3.7;K1.8.3.7_1.1.0.3;---;
SIMATIC WinCC flexible Tag Simulator;1.5.0.0;V1.5.0.0_1.11.0.6;---;
WinCC Runtime Advanced Simulator;17.0.0.0;V17.00.00.00_43.02.00.01;---;
